fill	xmin	xmax	ymin	ymax	key	showSelected1
#00BFFF	-1.5	-0.5	-6.3	-5.7	17	21
#BEBEBE	-5.5	-4.5	-4.3	-3.7	18	21
#FF0000	-4.5	-3.5	-4.3	-3.7	19	21
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	21
#BEBEBE	1	2	-3.3	-2.7	21	21
#BEBEBE	0.5	1.5	-4.3	-3.7	22	21
#00BFFF	1.5	2.5	-4.3	-3.7	23	21
#BEBEBE	2	3	-3.3	-2.7	24	21
#FF0000	3	4	-3.3	-2.7	25	21
#B4E2FF	-5	-4	-5.3	-4.7	26	21
#FF8969	-4	-3	-5.3	-4.7	27	21
#FF0000	-7	-6	-5.3	-4.7	28	21
#BEBEBE	-6	-5	-5.3	-4.7	29	21
#BEBEBE	-6.5	-5.5	-6.3	-5.7	30	21
#FF0000	-5.5	-4.5	-6.3	-5.7	31	21
#BEBEBE	-1.5	-0.5	-4.3	-3.7	32	21
#00BFFF	-0.5	0.5	-4.3	-3.7	33	21
#FF0000	2.5	3.5	-4.3	-3.7	34	21
#FFA78C	3.5	4.5	-4.3	-3.7	35	21
#7FD1FF	-1	-4.44089209850063e-16	-5.3	-4.7	36	21
#FFFFFF	-2.77555756156289e-16	1	-5.3	-4.7	37	21
#FFCFBF	1	2	-5.3	-4.7	38	21
#BEE5FF	2	3	-5.3	-4.7	39	21
#BEBEBE	-7	-6	-7.3	-6.7	40	21
#DFF2FF	-6	-5	-7.3	-6.7	41	21
#FFD9CB	-7.5	-6.5	-8.3	-7.7	42	21
#FF704F	-6.5	-5.5	-8.3	-7.7	43	21
#BEBEBE	-0.5	0.5	-0.3	0.3	1	22
#BEBEBE	-1	0	-1.3	-0.7	2	22
#BEBEBE	0	1	-1.3	-0.7	3	22
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	22
#BEBEBE	1	2	-2.3	-1.7	5	22
#BEBEBE	-2	-1	-2.3	-1.7	6	22
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	22
#BEBEBE	-4	-3	-3.3	-2.7	8	22
#BEBEBE	-3	-2	-3.3	-2.7	9	22
#00BFFF	-2	-1	-3.3	-2.7	10	22
#BEBEBE	-1	-6.66133814775094e-16	-3.3	-2.7	11	22
#BEBEBE	-3.5	-2.5	-4.3	-3.7	12	22
#BEBEBE	-2.5	-1.5	-4.3	-3.7	13	22
#00BFFF	-3	-2	-5.3	-4.7	14	22
#BEBEBE	-2	-1	-5.3	-4.7	15	22
#FFFFFF	-2.5	-1.5	-6.3	-5.7	16	22
#00BFFF	-1.5	-0.5	-6.3	-5.7	17	22
#BEBEBE	-5.5	-4.5	-4.3	-3.7	18	22
#FF0000	-4.5	-3.5	-4.3	-3.7	19	22
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	22
#BEBEBE	1	2	-3.3	-2.7	21	22
#BEBEBE	0.5	1.5	-4.3	-3.7	22	22
#00BFFF	1.5	2.5	-4.3	-3.7	23	22
#BEBEBE	2	3	-3.3	-2.7	24	22
#FF0000	3	4	-3.3	-2.7	25	22
#BEBEBE	-5	-4	-5.3	-4.7	26	22
#FF8969	-4	-3	-5.3	-4.7	27	22
#FF0000	-7	-6	-5.3	-4.7	28	22
#BEBEBE	-6	-5	-5.3	-4.7	29	22
#BEBEBE	-7	-6	-6.3	-5.7	30	22
#FF0000	-6	-5	-6.3	-5.7	31	22
#BEBEBE	-1.5	-0.5	-4.3	-3.7	32	22
#00BFFF	-0.5	0.5	-4.3	-3.7	33	22
#FF0000	2.5	3.5	-4.3	-3.7	34	22
#FFA78C	3.5	4.5	-4.3	-3.7	35	22
#7FD1FF	-1	-4.44089209850063e-16	-5.3	-4.7	36	22
#FFFFFF	-2.77555756156289e-16	1	-5.3	-4.7	37	22
#FFCFBF	1	2	-5.3	-4.7	38	22
#BEE5FF	2	3	-5.3	-4.7	39	22
#BEBEBE	-7.5	-6.5	-7.3	-6.7	40	22
#DFF2FF	-6.5	-5.5	-7.3	-6.7	41	22
#FFD9CB	-8	-7	-8.3	-7.7	42	22
#FF704F	-7	-6	-8.3	-7.7	43	22
#DFF2FF	-5	-4	-6.3	-5.7	44	22
#8AD4FF	-4	-3	-6.3	-5.7	45	22
#BEBEBE	-0.5	0.5	-0.3	0.3	1	23
#BEBEBE	-1	0	-1.3	-0.7	2	23
#BEBEBE	0	1	-1.3	-0.7	3	23
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	23
#BEBEBE	1	2	-2.3	-1.7	5	23
#BEBEBE	-2	-1	-2.3	-1.7	6	23
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	23
#BEBEBE	-4	-3	-3.3	-2.7	8	23
#BEBEBE	-3	-2	-3.3	-2.7	9	23
#00BFFF	-2	-1	-3.3	-2.7	10	23
#BEBEBE	-1	-6.66133814775094e-16	-3.3	-2.7	11	23
#BEBEBE	-3.5	-2.5	-4.3	-3.7	12	23
#BEBEBE	-2.5	-1.5	-4.3	-3.7	13	23
#00BFFF	-3	-2	-5.3	-4.7	14	23
#BEBEBE	-2	-1	-5.3	-4.7	15	23
#FFFFFF	-2.5	-1.5	-6.3	-5.7	16	23
#00BFFF	-1.5	-0.5	-6.3	-5.7	17	23
#BEBEBE	-5.5	-4.5	-4.3	-3.7	18	23
#FF0000	-4.5	-3.5	-4.3	-3.7	19	23
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	23
#BEBEBE	1	2	-3.3	-2.7	21	23
#BEBEBE	0.5	1.5	-4.3	-3.7	22	23
#00BFFF	1.5	2.5	-4.3	-3.7	23	23
#BEBEBE	2	3	-3.3	-2.7	24	23
#FF0000	3	4	-3.3	-2.7	25	23
#BEBEBE	-5	-4	-5.3	-4.7	26	23
#FF8969	-4	-3	-5.3	-4.7	27	23
#FF0000	-7	-6	-5.3	-4.7	28	23
#BEBEBE	-6	-5	-5.3	-4.7	29	23
#BEBEBE	-7	-6	-6.3	-5.7	30	23
#FF0000	-6	-5	-6.3	-5.7	31	23
#BEBEBE	-1.5	-0.5	-4.3	-3.7	32	23
#00BFFF	-0.5	0.5	-4.3	-3.7	33	23
#FF0000	2.5	3.5	-4.3	-3.7	34	23
#BEBEBE	3.5	4.5	-4.3	-3.7	35	23
#7FD1FF	-1	-4.44089209850063e-16	-5.3	-4.7	36	23
#FFFFFF	-2.77555756156289e-16	1	-5.3	-4.7	37	23
#FFCFBF	1	2	-5.3	-4.7	38	23
#BEE5FF	2	3	-5.3	-4.7	39	23
#BEBEBE	-7.5	-6.5	-7.3	-6.7	40	23
#DFF2FF	-6.5	-5.5	-7.3	-6.7	41	23
#FFD9CB	-8	-7	-8.3	-7.7	42	23
#FF704F	-7	-6	-8.3	-7.7	43	23
#DFF2FF	-5	-4	-6.3	-5.7	44	23
#8AD4FF	-4	-3	-6.3	-5.7	45	23
#FF7B5A	3	4	-5.3	-4.7	46	23
#FFD9CB	4	5	-5.3	-4.7	47	23
#BEBEBE	-0.5	0.5	-0.3	0.3	1	24
#BEBEBE	-1	0	-1.3	-0.7	2	24
#BEBEBE	0	1	-1.3	-0.7	3	24
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	24
#BEBEBE	1	2	-2.3	-1.7	5	24
#BEBEBE	-2	-1	-2.3	-1.7	6	24
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	24
#BEBEBE	-4	-3	-3.3	-2.7	8	24
#BEBEBE	-3	-2	-3.3	-2.7	9	24
#00BFFF	-2	-1	-3.3	-2.7	10	24
#BEBEBE	-1	-6.66133814775094e-16	-3.3	-2.7	11	24
#BEBEBE	-3.5	-2.5	-4.3	-3.7	12	24
#BEBEBE	-2.5	-1.5	-4.3	-3.7	13	24
#00BFFF	-3	-2	-5.3	-4.7	14	24
#BEBEBE	-2	-1	-5.3	-4.7	15	24
#FFFFFF	-2.5	-1.5	-6.3	-5.7	16	24
#00BFFF	-1.5	-0.5	-6.3	-5.7	17	24
#BEBEBE	-5.5	-4.5	-4.3	-3.7	18	24
#FF0000	-4.5	-3.5	-4.3	-3.7	19	24
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	24
#BEBEBE	1	2	-3.3	-2.7	21	24
#BEBEBE	0.5	1.5	-4.3	-3.7	22	24
#00BFFF	1.5	2.5	-4.3	-3.7	23	24
#BEBEBE	2	3	-3.3	-2.7	24	24
#FF0000	3	4	-3.3	-2.7	25	24
#BEBEBE	-5	-4	-5.3	-4.7	26	24
#FF8969	-4	-3	-5.3	-4.7	27	24
#FF0000	-7	-6	-5.3	-4.7	28	24
#BEBEBE	-6	-5	-5.3	-4.7	29	24
#BEBEBE	-7	-6	-6.3	-5.7	30	24
#FF0000	-6	-5	-6.3	-5.7	31	24
#BEBEBE	-1.5	-0.5	-4.3	-3.7	32	24
#00BFFF	-0.5	0.5	-4.3	-3.7	33	24
#FF0000	2.5	3.5	-4.3	-3.7	34	24
#BEBEBE	3.5	4.5	-4.3	-3.7	35	24
#7FD1FF	-1	-4.44089209850063e-16	-5.3	-4.7	36	24
#FFFFFF	-2.77555756156289e-16	1	-5.3	-4.7	37	24
#FFCFBF	1	2	-5.3	-4.7	38	24
#BEBEBE	2	3	-5.3	-4.7	39	24
#BEBEBE	-7.5	-6.5	-7.3	-6.7	40	24
#DFF2FF	-6.5	-5.5	-7.3	-6.7	41	24
#FFD9CB	-8	-7	-8.3	-7.7	42	24
#FF704F	-7	-6	-8.3	-7.7	43	24
#DFF2FF	-5	-4	-6.3	-5.7	44	24
#8AD4FF	-4	-3	-6.3	-5.7	45	24
#FF7B5A	3	4	-5.3	-4.7	46	24
#FFD9CB	4	5	-5.3	-4.7	47	24
#98D8FF	1.5	2.5	-6.3	-5.7	48	24
#DFF2FF	2.5	3.5	-6.3	-5.7	49	24
